int,let,let2,let3,valid,color,color2,color3
0,E,E,E,TRUE,gray,#cccccc,#cccccc
1,F_od-,W-,W,TRUE,#b06d80,#6cbfd8,#0cb7eb
2,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
3,F_od-,A-,A,TRUE,#b06d80,#fdf751,#e5dd03
4,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
5,F_od-,B-,B,TRUE,#b06d80,#ffbe57,#bd7400
6,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
7,F_od-,A/B-,A/B,TRUE,#b06d80,#796089,#662f89
8,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
9,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
10,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
11,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
12,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
13,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
14,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
15,F_od-,AB-,AB,TRUE,#b06d80,#dcecac,#a8ce30
16,F_od+,F_od+,F_od+,TRUE,#f6bbcc,#f6bbcc,#f6bbcc
17,W,W,W,TRUE,#0cb7eb,#0cb7eb,#0cb7eb
18,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
19,A,A,A,TRUE,#ebe507,#e5dd03,#e5dd03
20,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
21,B,B,B,TRUE,#ffa10a,#bd7400,#bd7400
22,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
23,A/B,A/B,A/B,TRUE,#662f89,#662f89,#662f89
24,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
25,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
26,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
27,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
28,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
29,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
30,F,F,F,FALSE,#e53b6a,#e53b6a,#e53b6a
31,AB,AB,AB,TRUE,#acdf0c,#a8ce30,#a8ce30
32,At,At,At,TRUE,#e5ee03,#e5ee03,#e5ee03
33,Bt,Bt,Bt,TRUE,#ffa10a,#ffa10a,#ffa10a
34,ABt,ABt,ABt,TRUE,#c2dd6e,#c2dd6e,#c2dd6e
